"response_id","date","country","age","gender","nps","nps_category","age_groups"
"1","2019-10-11T00:00:00Z","Netherlands","22","Male","6","Detractor","(17,24]"
"2","2019-10-11T00:00:00Z","Germany","36","Female","10","Promoter","(34,49]"
"3","2019-10-13T00:00:00Z","Austria","25","Female","7","Passive","(24,34]"
"4","2019-10-14T00:00:00Z","United Kingdom","47","Female","8","Passive","(34,49]"
"5","2019-10-15T00:00:00Z","Poland","58","Male","8","Passive","(49,69]"
"6","2019-10-16T00:00:00Z","Germany","19","Female","7","Passive","(17,24]"
"7","2019-10-17T00:00:00Z","Germany","63","Male","9","Promoter","(49,69]"
"8","2019-10-18T00:00:00Z","Germany","26","Female","8","Passive","(24,34]"
"9","2019-10-19T00:00:00Z","Germany","22","Female","9","Promoter","(17,24]"
"10","2019-10-20T00:00:00Z","Netherlands","27","Female","6","Detractor","(24,34]"
"11","2019-10-21T00:00:00Z","Germany","29","Female","9","Promoter","(24,34]"
"12","2019-11-01T00:00:00Z","Germany","31","Male","9","Promoter","(24,34]"
"13","2019-11-02T00:00:00Z","France","40","Male","8","Passive","(34,49]"
"14","2019-11-03T00:00:00Z","United Kingdom","36","Female","9","Promoter","(34,49]"
"15","2019-11-04T00:00:00Z","United Kingdom","32","Male","10","Promoter","(24,34]"
"16","2019-11-05T00:00:00Z","United Kingdom","43","Male","8","Passive","(34,49]"
"17","2019-11-06T00:00:00Z","France","42","Male","10","Promoter","(34,49]"
"18","2019-11-07T00:00:00Z","Spain","68","Female","9","Promoter","(49,69]"
"19","2019-11-08T00:00:00Z","France","50","Female","6","Detractor","(49,69]"
"20","2019-11-09T00:00:00Z","Poland","47","Female","8","Passive","(34,49]"
"21","2019-11-10T00:00:00Z","France","38","Other","4","Detractor","(34,49]"
"22","2019-11-11T00:00:00Z","Belgium","39","Female","9","Promoter","(34,49]"
"23","2019-11-12T00:00:00Z","France","44","Male","5","Detractor","(34,49]"
"24","2019-11-06T00:00:00Z","Germany","57","Female","8","Passive","(49,69]"
"25","2019-11-07T00:00:00Z","Spain","59","Male","9","Promoter","(49,69]"
"26","2019-11-08T00:00:00Z","Germany","52","Female","9","Promoter","(49,69]"
"27","2019-11-09T00:00:00Z","United Kingdom","36","Male","10","Promoter","(34,49]"
"28","2019-11-10T00:00:00Z","Poland","26","Female","9","Promoter","(24,34]"
"29","2019-11-11T00:00:00Z","Germany","37","Female","8","Passive","(34,49]"
"30","2019-11-12T00:00:00Z","United Kingdom","31","Male","7","Passive","(24,34]"
"31","2019-11-06T00:00:00Z","Germany","34","Female","8","Passive","(24,34]"
"32","2019-11-07T00:00:00Z","Germany","65","Female","9","Promoter","(49,69]"
"33","2019-11-08T00:00:00Z","Poland","82","Other","8","Passive","(69,99]"
"34","2019-11-09T00:00:00Z","Poland","26","Male","8","Passive","(24,34]"
"35","2019-11-10T00:00:00Z","Germany","27","Female","10","Promoter","(24,34]"
"36","2019-11-11T00:00:00Z","Spain","29","Female","9","Promoter","(24,34]"
"37","2019-11-12T00:00:00Z","Poland","35","Female","7","Passive","(34,49]"
"38","2019-11-13T00:00:00Z","France","38","Male","8","Passive","(34,49]"
"39","2019-11-14T00:00:00Z","Germany","37","Female","9","Promoter","(34,49]"
"40","2019-11-15T00:00:00Z","France","37","Female","10","Promoter","(34,49]"
"41","2019-11-16T00:00:00Z","France","18","Male","8","Passive","(17,24]"
"42","2019-11-17T00:00:00Z","Germany","37","Male","9","Promoter","(34,49]"
"43","2019-11-18T00:00:00Z","Italy","38","Male","7","Passive","(34,49]"
"44","2019-11-19T00:00:00Z","Italy","37","Female","10","Promoter","(34,49]"
"45","2019-11-20T00:00:00Z","Germany","34","Female","9","Promoter","(24,34]"
"46","2019-11-21T00:00:00Z","Italy","31","Male","8","Passive","(24,34]"
"47","2019-11-22T00:00:00Z","Italy","32","Female","9","Promoter","(24,34]"
"48","2019-12-04T00:00:00Z","Spain","32","Female","9","Promoter","(24,34]"